meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2025 Chinese National Championships (50m),48.55,21/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HE, Junyi",M,02/08/1997,,,25,25,872,Shenzhen,CHN
2025 Chinese National Championships (50m),48.55,20/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"LIU, Wudi",M,28/07/2005,,,25,26,872,Shenzhen,CHN
World Aquatics Championships - Singapore 2025,48.56,27/07/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,27,27,872,Singapore,SGP
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.57,10/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,28,28,871,Shenzhen,CHN
World Aquatics Championships - Singapore 2025,48.58,27/07/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,29,29,871,Singapore,SGP
33rd South East Asian Games 2025 (50m),48.65,10/12/2025,Men's 100m Freestyle LCM Male,SGP,Singapore,"LEE, Mikkel",M,12/12/2002,,,30,30,867,Bangkok,THA
2025 China National Championship (50m),48.67,09/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,31,31,866,Chengdu,CHN
2025 Chinese National Championships (50m),48.67,17/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"LIU, Wudi",M,28/07/2005,,,31,32,866,Shenzhen,CHN
2025 China National Championship (50m),48.68,05/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HE, Junyi",M,02/08/1997,,,33,33,865,Chengdu,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.71,13/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,34,34,864,Shenzhen,CHN
2025 Inter College Championships (50m),48.72,04/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,35,35,863,Tokyo,JPN
2025 Queensland Championships (50m),48.73,15/12/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"YANG, Jaehoon",M,07/05/1998,,,36,36,863,Brisbane,AUS
2025 Queensland Championships (50m),48.75,15/12/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,37,37,862,Brisbane,AUS
KB Financial Korea Swimming Championships,48.75,24/03/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,37,38,862,Gimcheon,KOR
2025 Japan National Swimming Championships (50m),48.75,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,37,39,862,Tokyo,JPN
2025 Chinese National Championships (50m),48.77,20/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,40,40,861,Shenzhen,CHN
2025 China Spring National Championships (50m),48.79,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,41,41,860,Qingdao,CHN
79th Japan Games (50m),48.80,14/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Shuya",M,10/05/2000,,,42,42,859,Kusatsu,JPN
2025 Inter College Championships (50m),48.82,04/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,43,43,858,Tokyo,JPN
40th Shizuoka Junior Swimming Championship 2025 (50m),48.82,27/07/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Shuya",M,10/05/2000,,,43,44,858,Fuji,JPN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.83,14/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HE, Junyi",M,02/08/1997,,,45,45,858,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.83,14/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,45,46,858,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.83,13/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"LIU, Wudi",M,28/07/2005,,,45,47,858,Shenzhen,CHN
2025 China National Championship (50m),48.83,05/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,45,48,858,Chengdu,CHN
World Aquatics Championships - Singapore 2025,48.83,30/07/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,45,49,858,Singapore,SGP
2025 Chinese National Championships (50m),48.84,17/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HE, Junyi",M,02/08/1997,,,50,50,857,Shenzhen,CHN
79th Japan Games (50m),48.87,14/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"KURODA, Kazusa",M,21/06/2007,,,51,51,855,Kusatsu,JPN
2025 Japan National Swimming Championships (50m),48.90,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,52,52,854,Tokyo,JPN
2025 Queensland Championships (50m),48.92,15/12/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,53,53,853,Brisbane,AUS
79th Japan Games (50m),48.94,14/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,54,54,852,Kusatsu,JPN
2025 Inter College Championships (50m),48.95,04/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MITSUNAGA, Shoon",M,28/06/2005,,,55,55,851,Tokyo,JPN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),48.96,10/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HE, Junyi",M,02/08/1997,,,56,56,851,Shenzhen,CHN
2025 China National Championship (50m),48.97,09/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"LIU, Wudi",M,28/07/2005,,,57,57,850,Chengdu,CHN
2025 China Spring National Championships (50m),48.98,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,58,58,850,Qingdao,CHN
2025 Japan National Swimming Championships (50m),48.99,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"HARA, Takaki",M,20/08/2003,,,59,59,849,Tokyo,JPN
2025 China Spring National Championships (50m),48.99,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,59,60,849,Qingdao,CHN
2025 Japan Open (50m),49.00,29/11/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Shuya",M,10/05/2000,,,61,61,849,Tokyo,JPN
79th Japan Games (50m),49.00,14/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"HARA, Takaki",M,20/08/2003,,,61,62,849,Kusatsu,JPN
2025 FISU World University Games,49.00,20/07/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"HARA, Takaki",M,20/08/2003,,,61,63,849,Berlin,GER
2025 China Spring National Championships (50m),49.00,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,61,64,849,Qingdao,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),49.01,10/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,65,65,848,Shenzhen,CHN
2025 China National Championship (50m),49.01,09/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,65,66,848,Chengdu,CHN
2025 FISU World University Games,49.03,17/07/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"HARA, Takaki",M,20/08/2003,,,67,67,847,Berlin,GER
2025 Inter College Championships (50m),49.04,04/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"YANAGIMOTO, Konosuke",M,24/11/2003,,,68,68,847,Tokyo,JPN
2025 China Spring National Championships (50m),49.05,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,69,69,846,Qingdao,CHN
2025 Inter College Championships (50m),49.07,05/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUSHITA, Tomoyuki",M,01/08/2005,,,70,70,845,Tokyo,JPN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),49.10,13/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,71,71,843,Shenzhen,CHN
Mare Nostrum 2025 Canet En Roussillon,49.10,25/05/2025,Men's 100m Freestyle LCM Male,QAT,Qatar,"SAYED, Ali",M,24/04/2006,,,71,72,843,Canet En Roussillon,FRA
